,Сроки к 12.01,Сроки к 02.03,Сроки к 01.04,Комментарий
0.2.0,,,,
NCCPRD-667 NCC iOS.Поддержка html-форматирования,02.02.2026,закрыта 17.02,закрыта 17.02,
0.3.0,,,,
NCCPRD-693 NCC iOS. SDK2. Панель ввода сообщения. Push уведомления. Дополнительные атрибуты,24.02.2026,закрыта 18.02,закрыта 18.02,
NCCPRD-685 NCC iOS. SDK2. Отображение профиля оператора,24.02.2026,03.03,закрыта 03.03,
NCCPRD-683 NCC iOS. SDK2. Панель навигации,24.02.2026,закрыта 25.02,закрыта 25.02,
NCCPRD-677 NCC iOS. SDK2. Отображение вложений в сообщениях,24.02.2026,09.03,закрыта 31.03,
0.4.0,,,,
NCCPRD-681 NCC iOS. SDK2. Скролл + Счетчик сообщений,16.03.2026,12.03,закрыта 20.03,
NCCPRD-679 NCC iOS. SDK2. События чата,16.03.2026,23.03,24.04,
NCCPRD-675 NCC iOS. SDK2. Добавление вложений,16.03.2026,08.04,17.04,
NCCPRD-672 NCC iOS. SDK2. Цитирование,16.03.2026,01.04,15.05,Вынесли в последний релиз
0.5.0,,,,
NCCPRD-691 NCC iOS. SDK2. Поддержка кнопок в сообщении,06.04.2026,16.04,07.04,
NCCPRD-670 NCC iOS. SDK2. Блокировка чата,06.04.2026,10.04,12.05,Вынесли в последний релиз
